id,book,mode,rank_ic,avg_turnover,net0,net60,net100,net150,yearly_net60
P1_V11_A_baseline_CH_3s,blend_band10,long_short,0.07037922399558785,0.30140248165433475,2.194,1.969,1.82,1.633,"{""2023"": {""sharpe"": 1.63, ""mean_pct"": 1.79, ""n"": 12}, ""2024"": {""sharpe"": 1.3, ""mean_pct"": 1.58, ""n"": 13}, ""2025"": {""sharpe"": 1.85, ""mean_pct"": 4.28, ""n"": 12}, ""2026"": {""sharpe"": 9.47, ""mean_pct"": 8.32, ""n"": 5}}"
P1_V11_A_baseline_CH_3s,blend_band10,long_only,0.07037922399558785,0.26528094960558085,2.008,1.937,1.889,1.829,"{""2023"": {""sharpe"": 2.16, ""mean_pct"": 3.57, ""n"": 12}, ""2024"": {""sharpe"": 1.03, ""mean_pct"": 1.69, ""n"": 13}, ""2025"": {""sharpe"": 1.72, ""mean_pct"": 4.97, ""n"": 12}, ""2026"": {""sharpe"": 5.09, ""mean_pct"": 10.7, ""n"": 5}}"
P1_V11_B_wider96_CH_3s,books,long_short,0.06570033400730253,0.38577945197717894,2.152,1.854,1.656,1.409,"{""2023"": {""sharpe"": 1.31, ""mean_pct"": 1.21, ""n"": 12}, ""2024"": {""sharpe"": 1.89, ""mean_pct"": 2.09, ""n"": 13}, ""2025"": {""sharpe"": 1.34, ""mean_pct"": 2.86, ""n"": 12}, ""2026"": {""sharpe"": 6.33, ""mean_pct"": 9.83, ""n"": 5}}"
P1_V11_B_wider96_CH_3s,books,long_only,0.06570033400730253,0.33745862880791,1.864,1.766,1.702,1.621,"{""2023"": {""sharpe"": 2.09, ""mean_pct"": 3.29, ""n"": 12}, ""2024"": {""sharpe"": 0.78, ""mean_pct"": 1.01, ""n"": 13}, ""2025"": {""sharpe"": 1.5, ""mean_pct"": 4.21, ""n"": 12}, ""2026"": {""sharpe"": 4.53, ""mean_pct"": 11.28, ""n"": 5}}"
P1_V11_B_wider96_CH_3s,blend_band10,long_short,0.07474830190203556,0.3048834655338129,2.197,1.971,1.819,1.63,"{""2023"": {""sharpe"": 1.79, ""mean_pct"": 2.0, ""n"": 12}, ""2024"": {""sharpe"": 1.65, ""mean_pct"": 2.0, ""n"": 13}, ""2025"": {""sharpe"": 1.76, ""mean_pct"": 4.08, ""n"": 12}, ""2026"": {""sharpe"": 5.05, ""mean_pct"": 7.0, ""n"": 5}}"
P1_V11_B_wider96_CH_3s,blend_band10,long_only,0.07474830190203556,0.26061340286828427,1.955,1.883,1.834,1.773,"{""2023"": {""sharpe"": 2.29, ""mean_pct"": 3.67, ""n"": 12}, ""2024"": {""sharpe"": 0.94, ""mean_pct"": 1.48, ""n"": 13}, ""2025"": {""sharpe"": 1.73, ""mean_pct"": 5.0, ""n"": 12}, ""2026"": {""sharpe"": 4.29, ""mean_pct"": 8.87, ""n"": 5}}"
P1_V11_C_wider128_CH_3s,books,long_short,0.05718539100704432,0.36679822631796827,1.528,1.273,1.103,0.893,"{""2023"": {""sharpe"": -0.84, ""mean_pct"": -1.2, ""n"": 12}, ""2024"": {""sharpe"": 1.63, ""mean_pct"": 1.99, ""n"": 13}, ""2025"": {""sharpe"": 1.41, ""mean_pct"": 2.95, ""n"": 12}, ""2026"": {""sharpe"": 6.79, ""mean_pct"": 9.72, ""n"": 5}}"
P1_V11_C_wider128_CH_3s,books,long_only,0.05718539100704432,0.33510872945676967,1.726,1.628,1.563,1.482,"{""2023"": {""sharpe"": 1.52, ""mean_pct"": 1.95, ""n"": 12}, ""2024"": {""sharpe"": 0.6, ""mean_pct"": 0.86, ""n"": 13}, ""2025"": {""sharpe"": 1.54, ""mean_pct"": 4.29, ""n"": 12}, ""2026"": {""sharpe"": 5.38, ""mean_pct"": 11.66, ""n"": 5}}"
P1_V11_C_wider128_CH_3s,blend_band10,long_short,0.06867612103936697,0.31135463719714046,2.043,1.807,1.649,1.452,"{""2023"": {""sharpe"": 1.51, ""mean_pct"": 1.22, ""n"": 12}, ""2024"": {""sharpe"": 1.33, ""mean_pct"": 1.26, ""n"": 13}, ""2025"": {""sharpe"": 1.63, ""mean_pct"": 3.9, ""n"": 12}, ""2026"": {""sharpe"": 8.59, ""mean_pct"": 8.66, ""n"": 5}}"
P1_V11_C_wider128_CH_3s,blend_band10,long_only,0.06867612103936697,0.27852399463300104,1.909,1.833,1.781,1.717,"{""2023"": {""sharpe"": 2.48, ""mean_pct"": 3.3, ""n"": 12}, ""2024"": {""sharpe"": 0.68, ""mean_pct"": 0.99, ""n"": 13}, ""2025"": {""sharpe"": 1.62, ""mean_pct"": 4.78, ""n"": 12}, ""2026"": {""sharpe"": 5.18, ""mean_pct"": 11.15, ""n"": 5}}"
P1_V11_D_deeper64_CH_3s,books,long_short,0.06738680784726808,0.3170520693125666,2.121,1.893,1.74,1.548,"{""2023"": {""sharpe"": 2.17, ""mean_pct"": 2.15, ""n"": 12}, ""2024"": {""sharpe"": 1.69, ""mean_pct"": 2.43, ""n"": 13}, ""2025"": {""sharpe"": 1.14, ""mean_pct"": 2.39, ""n"": 12}, ""2026"": {""sharpe"": 5.32, ""mean_pct"": 8.88, ""n"": 5}}"
P1_V11_D_deeper64_CH_3s,books,long_only,0.06738680784726808,0.26806494392627767,1.949,1.875,1.826,1.763,"{""2023"": {""sharpe"": 2.43, ""mean_pct"": 3.86, ""n"": 12}, ""2024"": {""sharpe"": 1.08, ""mean_pct"": 1.83, ""n"": 13}, ""2025"": {""sharpe"": 1.39, ""mean_pct"": 3.73, ""n"": 12}, ""2026"": {""sharpe"": 4.4, ""mean_pct"": 10.72, ""n"": 5}}"
