symbol,first_date,last_date,expected_sessions,actual_sessions,missing_sessions,duplicate_dates,non_monotonic_steps,off_calendar_rows,gap_intervals,multi_session_gaps,largest_gap_sessions,largest_gap_start,full_month_gaps,full_month_list,missing_2025_26,latest_contiguous_run,tail_fresh,recent_window_missing,LEVEL_A_live_inference,LEVEL_B_training_samples_feature_window_cross,LEVEL_B_training_samples_label_window_cross,LEVEL_C_history,missing_unrepaired,missing_market_open_symbol_no_data,missing_confirmed_symbol_no_trade,missing_unresolved_after_retries,listing_boundary,model_eligible
2891,2015-01-05,2026-09-21,2856,2856,0,0,0,0,0,0,0,,0,,0,2856,True,0,PASS,0,0,COMPLETE,0,0,0,0,UNKNOWN_LISTING_BOUNDARY,True
2892,2015-01-05,2026-09-21,2856,2856,0,0,0,0,0,0,0,,0,,0,2856,True,0,PASS,0,0,COMPLETE,0,0,0,0,UNKNOWN_LISTING_BOUNDARY,True
2903,2015-01-05,2026-09-21,2856,2856,0,0,0,0,0,0,0,,0,,0,2856,True,0,PASS,0,0,COMPLETE,0,0,0,0,UNKNOWN_LISTING_BOUNDARY,True
2912,2015-01-05,2026-09-21,2856,2855,1,0,0,0,1,0,1,2017-07-27,0,,0,2231,True,0,PASS,190,21,INCOMPLETE,0,1,0,0,UNKNOWN_LISTING_BOUNDARY,True
2915,2015-01-05,2026-09-21,2856,2849,7,0,0,0,1,1,7,2018-10-18,0,,0,1921,True,0,PASS,190,21,INCOMPLETE,0,7,0,0,UNKNOWN_LISTING_BOUNDARY,True
3008,2015-01-05,2026-09-21,2856,2856,0,0,0,0,0,0,0,,0,,0,2856,True,0,PASS,0,0,COMPLETE,0,0,0,0,UNKNOWN_LISTING_BOUNDARY,True
3034,2015-01-05,2026-09-21,2856,2856,0,0,0,0,0,0,0,,0,,0,2856,True,0,PASS,0,0,COMPLETE,0,0,0,0,UNKNOWN_LISTING_BOUNDARY,True
3037,2015-01-05,2026-09-21,2856,2855,1,0,0,0,1,0,1,2022-02-22,0,,0,1114,True,0,PASS,190,21,INCOMPLETE,0,1,0,0,UNKNOWN_LISTING_BOUNDARY,True
3045,2015-01-05,2026-09-21,2856,2856,0,0,0,0,0,0,0,,0,,0,2856,True,0,PASS,0,0,COMPLETE,0,0,0,0,UNKNOWN_LISTING_BOUNDARY,True
3231,2015-01-05,2026-09-21,2856,2856,0,0,0,0,0,0,0,,0,,0,2856,True,0,PASS,0,0,COMPLETE,0,0,0,0,UNKNOWN_LISTING_BOUNDARY,True
3443,2015-01-05,2026-09-21,2856,2856,0,0,0,0,0,0,0,,0,,0,2856,True,0,PASS,0,0,COMPLETE,0,0,0,0,UNKNOWN_LISTING_BOUNDARY,True
3661,2015-01-05,2026-09-21,2856,2856,0,0,0,0,0,0,0,,0,,0,2856,True,0,PASS,0,0,COMPLETE,0,0,0,0,UNKNOWN_LISTING_BOUNDARY,True
