symbol,first_date,last_date,expected_sessions,actual_sessions,missing_sessions,duplicate_dates,non_monotonic_steps,off_calendar_rows,gap_intervals,multi_session_gaps,largest_gap_sessions,largest_gap_start,full_month_gaps,full_month_list,missing_2025_26,latest_contiguous_run,tail_fresh,recent_window_missing,LEVEL_A_live_inference,LEVEL_B_training_samples_feature_window_cross,LEVEL_B_training_samples_label_window_cross,LEVEL_C_history,missing_unrepaired,missing_market_open_symbol_no_data,missing_confirmed_symbol_no_trade,missing_unresolved_after_retries,listing_boundary,model_eligible
5903,2015-01-05,2026-09-11,2850,2840,10,0,0,0,8,2,2,2016-10-21,0,,0,722,True,0,PASS,1020,84,INCOMPLETE,10,0,0,0,UNKNOWN_LISTING_BOUNDARY,True
6414,2015-01-05,2026-09-11,2850,2848,2,0,0,0,2,0,1,2016-10-12,0,,0,2059,True,0,PASS,380,42,INCOMPLETE,2,0,0,0,UNKNOWN_LISTING_BOUNDARY,True
6446,2024-01-25,2026-09-11,636,636,0,0,0,0,0,0,0,,0,,0,636,True,0,PASS,0,0,COMPLETE,0,0,0,0,UNKNOWN_LISTING_BOUNDARY,True
6770,2021-12-06,2026-09-11,1157,1137,20,0,0,0,1,1,20,2022-10-03,1,2022-10,0,936,True,0,PASS,190,11,INCOMPLETE,20,0,0,0,UNKNOWN_LISTING_BOUNDARY,True
9904,2015-01-05,2026-09-11,2850,2827,23,0,0,0,1,1,23,2020-07-01,1,2020-07,0,1488,True,0,PASS,190,21,INCOMPLETE,23,0,0,0,UNKNOWN_LISTING_BOUNDARY,True
9910,2015-01-05,2026-09-11,2850,2810,40,0,0,0,2,2,21,2025-09-01,2,2019-09;2025-09,21,230,True,0,PASS,380,42,INCOMPLETE,40,0,0,0,UNKNOWN_LISTING_BOUNDARY,True
9914,2015-01-05,2026-09-11,2850,2835,15,0,0,0,1,1,15,2022-02-07,1,2022-02,0,1105,True,0,PASS,190,21,INCOMPLETE,15,0,0,0,UNKNOWN_LISTING_BOUNDARY,True
9921,2015-01-05,2026-09-11,2850,2828,22,0,0,0,1,1,22,2023-05-02,1,2023-05,0,799,True,0,PASS,190,21,INCOMPLETE,22,0,0,0,UNKNOWN_LISTING_BOUNDARY,True
9933,2015-01-05,2026-09-11,2850,2830,20,0,0,0,2,1,19,2022-04-01,1,2022-04,1,328,True,0,PASS,380,42,INCOMPLETE,20,0,0,0,UNKNOWN_LISTING_BOUNDARY,True
9945,2015-01-05,2026-09-11,2850,2836,14,0,0,0,2,2,7,2018-09-27,0,,0,720,True,0,PASS,380,42,INCOMPLETE,14,0,0,0,UNKNOWN_LISTING_BOUNDARY,True
