run_at,symbol,month,state,expected_missing,rows_returned,rows_accepted,rows_added,rows_rejected,remaining,attempts,suspension_status,no_data_sessions,registry_confirmed_no_trade
2026-09-21 22:47:33,2344,2024-04,FETCH_OK,20,20,20,20,0,0,1,,,
2026-09-21 22:47:33,2344,2024-07,FETCH_OK,21,21,21,21,0,0,1,,,
2026-09-21 22:47:33,2345,2020-05,FETCH_OK,20,20,20,20,0,0,1,,,
2026-09-21 22:47:33,2351,2021-07,FETCH_OK,22,22,22,22,0,0,1,,,
2026-09-21 22:47:33,2353,2018-02,FETCH_OK,13,13,13,13,0,0,1,,,
2026-09-21 22:47:33,2354,2016-03,MARKET_OPEN_SYMBOL_NO_DATA,1,22,0,0,0,1,1,SUSPENSION_STATUS_UNKNOWN,2016-03-30,
2026-09-21 22:47:33,2356,2019-03,FETCH_OK,20,20,20,20,0,0,1,,,
2026-09-21 22:47:33,2356,2020-04,FETCH_OK,20,20,20,20,0,0,1,,,
2026-09-21 22:47:33,2356,2024-05,FETCH_OK,22,22,22,22,0,0,1,,,
2026-09-21 22:47:33,2360,2018-11,FETCH_OK,22,22,22,22,0,0,1,,,
2026-09-21 22:47:33,2360,2022-10,FETCH_OK,20,20,20,20,0,0,1,,,
2026-09-21 22:47:33,2368,2022-09,MARKET_OPEN_SYMBOL_NO_DATA,7,14,0,0,0,7,1,SUSPENSION_STATUS_UNKNOWN,2022-09-07;2022-09-08;2022-09-12;2022-09-13;2022-09-14;2022-09-15;2022-09-16,
2026-09-21 22:47:33,2379,2019-08,FETCH_OK,21,21,21,21,0,0,1,,,
2026-09-21 22:47:33,2379,2021-09,FETCH_OK,20,20,20,20,0,0,1,,,
2026-09-21 22:47:33,2379,2022-09,FETCH_OK,21,21,21,21,0,0,1,,,
2026-09-21 22:47:33,2382,2017-03,FETCH_OK,23,23,23,23,0,0,1,,,
2026-09-21 22:47:33,2382,2017-04,FETCH_OK,18,18,18,18,0,0,1,,,
2026-09-21 22:47:33,2382,2017-05,FETCH_OK,20,20,20,20,0,0,1,,,
2026-09-21 22:47:33,2382,2017-06,FETCH_OK,23,23,23,23,0,0,1,,,
2026-09-21 22:47:33,2382,2017-07,FETCH_OK,21,21,21,21,0,0,1,,,
2026-09-21 22:47:33,2382,2017-08,FETCH_OK,23,23,23,23,0,0,1,,,
2026-09-21 22:47:33,2382,2017-09,FETCH_OK,22,22,22,22,0,0,1,,,
2026-09-21 22:47:33,2382,2017-10,FETCH_OK,19,19,19,19,0,0,1,,,
2026-09-21 22:47:33,2382,2017-11,FETCH_OK,22,22,22,22,0,0,1,,,
2026-09-21 22:47:33,2382,2017-12,FETCH_OK,21,21,21,21,0,0,1,,,
2026-09-21 22:47:33,2382,2023-01,FETCH_OK,13,13,13,13,0,0,1,,,
2026-09-21 22:47:33,2409,2022-09,MARKET_OPEN_SYMBOL_NO_DATA,2,19,0,0,0,2,1,SUSPENSION_STATUS_UNKNOWN,2022-09-29;2022-09-30,
2026-09-21 22:47:33,2409,2022-10,MARKET_OPEN_SYMBOL_NO_DATA,5,15,0,0,0,5,1,SUSPENSION_STATUS_UNKNOWN,2022-10-03;2022-10-04;2022-10-05;2022-10-06;2022-10-07,
2026-09-21 22:47:33,2412,2019-08,FETCH_OK,21,21,21,21,0,0,1,,,
2026-09-21 22:47:33,2412,2020-10,FETCH_OK,19,19,19,19,0,0,1,,,
2026-09-21 22:47:33,2449,2024-04,MARKET_OPEN_SYMBOL_NO_DATA,1,19,0,0,0,1,1,SUSPENSION_STATUS_UNKNOWN,2024-04-26,
2026-09-21 22:47:33,2454,2016-05,MARKET_OPEN_SYMBOL_NO_DATA,1,20,0,0,0,1,1,SUSPENSION_STATUS_UNKNOWN,2016-05-13,
2026-09-21 22:47:33,2454,2022-02,FETCH_OK,15,15,15,15,0,0,1,,,
2026-09-21 22:47:33,2458,2018-10,MARKET_OPEN_SYMBOL_NO_DATA,7,15,0,0,0,7,1,SUSPENSION_STATUS_UNKNOWN,2018-10-11;2018-10-12;2018-10-15;2018-10-16;2018-10-17;2018-10-18;2018-10-19,
2026-09-21 22:47:33,2548,2021-12,FETCH_OK,22,22,22,22,0,0,1,,,
2026-09-21 22:47:33,2603,2022-09,MARKET_OPEN_SYMBOL_NO_DATA,7,14,0,0,0,7,1,SUSPENSION_STATUS_UNKNOWN,2022-09-07;2022-09-08;2022-09-12;2022-09-13;2022-09-14;2022-09-15;2022-09-16,
2026-09-21 22:47:33,2609,2017-04,MARKET_OPEN_SYMBOL_NO_DATA,7,11,0,0,0,7,1,SUSPENSION_STATUS_UNKNOWN,2017-04-20;2017-04-21;2017-04-24;2017-04-25;2017-04-26;2017-04-27;2017-04-28,
2026-09-21 22:47:33,2609,2017-05,MARKET_OPEN_SYMBOL_NO_DATA,2,18,0,0,0,2,1,SUSPENSION_STATUS_UNKNOWN,2017-05-02;2017-05-03,
2026-09-21 22:47:33,2609,2018-09,FETCH_OK,19,19,19,19,0,0,1,,,
2026-09-21 22:47:33,2609,2021-10,FETCH_OK,20,20,20,20,0,0,1,,,
2026-09-21 22:47:33,2615,2021-08,FETCH_OK,22,22,22,22,0,0,1,,,
2026-09-21 22:47:33,2880,2019-12,FETCH_OK,22,22,22,22,0,0,1,,,
2026-09-21 22:47:33,2880,2020-08,FETCH_OK,21,21,21,21,0,0,1,,,
2026-09-21 22:47:33,2881,2024-03,FETCH_OK,21,21,21,21,0,0,1,,,
2026-09-21 22:47:33,2882,2024-07,FETCH_OK,21,21,21,21,0,0,1,,,
2026-09-21 22:47:33,2884,2018-09,FETCH_OK,19,19,19,19,0,0,1,,,
2026-09-21 22:47:33,2884,2019-06,FETCH_OK,19,19,19,19,0,0,1,,,
2026-09-21 22:47:33,2903,2020-07,FETCH_OK,23,23,23,23,0,0,1,,,
2026-09-21 22:47:33,2912,2017-07,MARKET_OPEN_SYMBOL_NO_DATA,1,20,0,0,0,1,1,SUSPENSION_STATUS_UNKNOWN,2017-07-27,
2026-09-21 22:47:33,2912,2023-05,FETCH_OK,22,22,22,22,0,0,1,,,
2026-09-21 22:47:33,2915,2018-10,MARKET_OPEN_SYMBOL_NO_DATA,7,15,0,0,0,7,1,SUSPENSION_STATUS_UNKNOWN,2018-10-18;2018-10-19;2018-10-22;2018-10-23;2018-10-24;2018-10-25;2018-10-26,
2026-09-21 22:47:33,3008,2020-04,FETCH_OK,20,20,20,20,0,0,1,,,
2026-09-21 22:47:33,3034,2019-05,FETCH_OK,22,22,22,22,0,0,1,,,
2026-09-21 22:47:33,3037,2017-02,FETCH_OK,18,18,18,18,0,0,1,,,
2026-09-21 22:47:33,3037,2017-03,FETCH_OK,23,23,23,23,0,0,1,,,
2026-09-21 22:47:33,3037,2017-04,FETCH_OK,18,18,18,18,0,0,1,,,
2026-09-21 22:47:33,3037,2017-05,FETCH_OK,20,20,20,20,0,0,1,,,
2026-09-21 22:47:33,3037,2017-06,FETCH_OK,23,23,23,23,0,0,1,,,
2026-09-21 22:47:33,3037,2017-07,FETCH_OK,21,21,21,21,0,0,1,,,
