item,recipe,cell,refit_date,seed,epoch,train_loss,val_ic
P2E_Wall_baseline_E50p5,Wall_baseline,E50p5,2024-08-02,0,1,0.33294,0.04864
P2E_Wall_baseline_E50p5,Wall_baseline,E50p5,2024-08-02,0,2,0.33257,0.03017
P2E_Wall_baseline_E50p5,Wall_baseline,E50p5,2024-08-02,0,3,0.33219,0.0148
P2E_Wall_baseline_E50p5,Wall_baseline,E50p5,2024-08-02,0,4,0.33195,0.00525
P2E_Wall_baseline_E50p5,Wall_baseline,E50p5,2024-08-02,0,5,0.33165,-0.06014
P2E_Wall_baseline_E50p5,Wall_baseline,E50p5,2024-08-02,1,0,0.33534,0.03866
P2E_Wall_baseline_E50p5,Wall_baseline,E50p5,2024-08-02,1,1,0.33321,0.02276
P2E_Wall_baseline_E50p5,Wall_baseline,E50p5,2024-08-02,1,2,0.33253,0.01813
P2E_Wall_baseline_E50p5,Wall_baseline,E50p5,2024-08-02,1,3,0.3321,0.00368
P2E_Wall_baseline_E50p5,Wall_baseline,E50p5,2024-08-02,1,4,0.33179,-0.0275
P2E_Wall_baseline_E50p5,Wall_baseline,E50p5,2024-08-02,1,5,0.33095,-0.01751
P2E_Wall_baseline_E50p5,Wall_baseline,E50p5,2024-08-02,2,0,0.33558,0.03563
P2E_Wall_baseline_E50p5,Wall_baseline,E50p5,2024-08-02,2,1,0.33355,0.0186
P2E_Wall_baseline_E50p5,Wall_baseline,E50p5,2024-08-02,2,2,0.33288,-0.02131
P2E_Wall_baseline_E50p5,Wall_baseline,E50p5,2024-08-02,2,3,0.33229,-0.02895
P2E_Wall_baseline_E50p5,Wall_baseline,E50p5,2024-08-02,2,4,0.33112,-0.0266
P2E_Wall_baseline_E50p5,Wall_baseline,E50p5,2024-08-02,2,5,0.33066,-0.02863
P2E_Wall_baseline_E50p5,Wall_baseline,E50p5,2025-02-13,0,0,0.33404,0.05448
P2E_Wall_baseline_E50p5,Wall_baseline,E50p5,2025-02-13,0,1,0.33302,0.03432
P2E_Wall_baseline_E50p5,Wall_baseline,E50p5,2025-02-13,0,2,0.33284,0.02734
P2E_Wall_baseline_E50p5,Wall_baseline,E50p5,2025-02-13,0,3,0.33277,0.03006
P2E_Wall_baseline_E50p5,Wall_baseline,E50p5,2025-02-13,0,4,0.33261,0.03399
P2E_Wall_baseline_E50p5,Wall_baseline,E50p5,2025-02-13,0,5,0.33226,0.04106
P2E_Wall_baseline_E50p5,Wall_baseline,E50p5,2025-02-13,1,0,0.33471,0.02225
P2E_Wall_baseline_E50p5,Wall_baseline,E50p5,2025-02-13,1,1,0.33324,0.02826
P2E_Wall_baseline_E50p5,Wall_baseline,E50p5,2025-02-13,1,2,0.33281,-0.00431
P2E_Wall_baseline_E50p5,Wall_baseline,E50p5,2025-02-13,1,3,0.33221,-0.07143
P2E_Wall_baseline_E50p5,Wall_baseline,E50p5,2025-02-13,1,4,0.33174,-0.09463
P2E_Wall_baseline_E50p5,Wall_baseline,E50p5,2025-02-13,1,5,0.33098,-0.10213
P2E_Wall_baseline_E50p5,Wall_baseline,E50p5,2025-02-13,1,6,0.33058,-0.08138
P2E_Wall_baseline_E50p5,Wall_baseline,E50p5,2025-02-13,2,0,0.33578,0.0385
P2E_Wall_baseline_E50p5,Wall_baseline,E50p5,2025-02-13,2,1,0.33361,0.01359
P2E_Wall_baseline_E50p5,Wall_baseline,E50p5,2025-02-13,2,2,0.33299,-0.04772
P2E_Wall_baseline_E50p5,Wall_baseline,E50p5,2025-02-13,2,3,0.33239,-0.10443
P2E_Wall_baseline_E50p5,Wall_baseline,E50p5,2025-02-13,2,4,0.33165,-0.09519
P2E_Wall_baseline_E50p5,Wall_baseline,E50p5,2025-02-13,2,5,0.33091,-0.08225
P2E_Wall_baseline_E50p5,Wall_baseline,E50p5,2025-08-15,0,0,0.3339,0.01031
P2E_Wall_baseline_E50p5,Wall_baseline,E50p5,2025-08-15,0,1,0.33294,0.00592
