window,signal,config,cost_bps,sharpe,max_dd,ann_ret,yearly,short_hit_rate,short_mae_mean,turnover_long,turnover_short,avg_n_short,avg_n_excluded,max_short_sector_w
CH,blend50,S100_diagnostic,200,-1.471,-0.6342,-0.2964,"{""2023"": -3.13, ""2024"": -0.07, ""2025"": -1.26, ""2026"": -2.73}",0.509,0.1905,0.312,0.381,13.8,7.3,0.5
BR,tf,L100,60,1.257,-0.3024,0.347,"{""2021"": 1.08, ""2022"": 0.08, ""2023"": 2.27, ""2024"": 0.7, ""2025"": 1.41, ""2026"": 3.21}",0.476,0.1657,0.336,0.439,13.7,7.3,0.692
BR,tf,L100_S50,60,1.146,-0.246,0.2685,"{""2021"": 0.79, ""2022"": -0.03, ""2023"": 1.96, ""2024"": 0.98, ""2025"": 1.41, ""2026"": 2.65}",0.476,0.1657,0.336,0.439,13.7,7.3,0.692
BR,tf,L100_S100_net0,60,0.839,-0.232,0.19,"{""2021"": 0.36, ""2022"": -0.18, ""2023"": 1.18, ""2024"": 1.23, ""2025"": 0.91, ""2026"": 2.0}",0.476,0.1657,0.336,0.439,13.7,7.3,0.692
BR,tf,S100_diagnostic,60,-0.835,-0.6073,-0.157,"{""2021"": -1.75, ""2022"": -0.27, ""2023"": -1.3, ""2024"": 0.68, ""2025"": -0.73, ""2026"": -3.08}",0.476,0.1657,0.336,0.439,13.7,7.3,0.692
BR,tf,L100,100,1.195,-0.3118,0.3301,"{""2021"": 1.03, ""2022"": 0.03, ""2023"": 2.12, ""2024"": 0.64, ""2025"": 1.36, ""2026"": 3.18}",0.476,0.1657,0.336,0.439,13.7,7.3,0.692
BR,tf,L100_S50,100,0.978,-0.2764,0.2295,"{""2021"": 0.65, ""2022"": -0.18, ""2023"": 1.51, ""2024"": 0.8, ""2025"": 1.27, ""2026"": 2.56}",0.476,0.1657,0.336,0.439,13.7,7.3,0.692
BR,tf,L100_S100_net0,100,0.567,-0.2858,0.1288,"{""2021"": 0.13, ""2022"": -0.4, ""2023"": 0.55, ""2024"": 0.94, ""2025"": 0.71, ""2026"": 1.86}",0.476,0.1657,0.336,0.439,13.7,7.3,0.692
BR,tf,S100_diagnostic,100,-1.071,-0.6885,-0.2013,"{""2021"": -2.03, ""2022"": -0.42, ""2023"": -1.78, ""2024"": 0.28, ""2025"": -0.85, ""2026"": -3.28}",0.476,0.1657,0.336,0.439,13.7,7.3,0.692
BR,tf,L100,150,1.118,-0.3234,0.3089,"{""2021"": 0.97, ""2022"": -0.03, ""2023"": 1.93, ""2024"": 0.55, ""2025"": 1.3, ""2026"": 3.14}",0.476,0.1657,0.336,0.439,13.7,7.3,0.692
BR,tf,L100_S50,150,0.767,-0.3157,0.1806,"{""2021"": 0.49, ""2022"": -0.35, ""2023"": 0.97, ""2024"": 0.58, ""2025"": 1.1, ""2026"": 2.46}",0.476,0.1657,0.336,0.439,13.7,7.3,0.692
BR,tf,L100_S100_net0,150,0.229,-0.408,0.0523,"{""2021"": -0.15, ""2022"": -0.67, ""2023"": -0.2, ""2024"": 0.56, ""2025"": 0.45, ""2026"": 1.69}",0.476,0.1657,0.336,0.439,13.7,7.3,0.692
BR,tf,S100_diagnostic,150,-1.364,-0.767,-0.2567,"{""2021"": -2.39, ""2022"": -0.6, ""2023"": -2.38, ""2024"": -0.19, ""2025"": -1.0, ""2026"": -3.52}",0.476,0.1657,0.336,0.439,13.7,7.3,0.692
BR,tf,L100,200,1.041,-0.3348,0.2878,"{""2021"": 0.9, ""2022"": -0.1, ""2023"": 1.73, ""2024"": 0.46, ""2025"": 1.25, ""2026"": 3.11}",0.476,0.1657,0.336,0.439,13.7,7.3,0.692
BR,tf,L100_S50,200,0.558,-0.353,0.1318,"{""2021"": 0.32, ""2022"": -0.53, ""2023"": 0.44, ""2024"": 0.34, ""2025"": 0.93, ""2026"": 2.35}",0.476,0.1657,0.336,0.439,13.7,7.3,0.692
BR,tf,L100_S100_net0,200,-0.105,-0.5657,-0.0243,"{""2021"": -0.41, ""2022"": -0.94, ""2023"": -0.92, ""2024"": 0.16, ""2025"": 0.18, ""2026"": 1.52}",0.476,0.1657,0.336,0.439,13.7,7.3,0.692
BR,tf,S100_diagnostic,200,-1.653,-0.8261,-0.312,"{""2021"": -2.75, ""2022"": -0.78, ""2023"": -2.97, ""2024"": -0.63, ""2025"": -1.16, ""2026"": -3.75}",0.476,0.1657,0.336,0.439,13.7,7.3,0.692
BR,d12,L100,60,1.357,-0.3597,0.3634,"{""2021"": 1.27, ""2022"": -0.36, ""2023"": 2.57, ""2024"": 0.78, ""2025"": 1.53, ""2026"": 3.48}",0.466,0.1812,0.345,0.416,13.9,7.2,0.571
BR,d12,L100_S50,60,1.119,-0.3857,0.2567,"{""2021"": 1.06, ""2022"": -1.07, ""2023"": 2.02, ""2024"": 0.89, ""2025"": 1.23, ""2026"": 2.95}",0.466,0.1812,0.345,0.416,13.9,7.2,0.571
BR,d12,L100_S100_net0,60,0.639,-0.4394,0.15,"{""2021"": 0.71, ""2022"": -1.55, ""2023"": 1.27, ""2024"": 0.55, ""2025"": 0.56, ""2026"": 2.29}",0.466,0.1812,0.345,0.416,13.9,7.2,0.571
