window,signal,date,stock,fwd_20,short_pnl_contrib
BR,tf,2026-05-19,2610,0.20054945,-0.014324960714285713
BR,tf,2026-05-19,2915,0.19362187,-0.01383013357142857
BR,tf,2026-05-19,9945,0.15811966,-0.011294261428571428
BR,tf,2026-05-19,2337,0.14539006,-0.010385004285714284
BR,tf,2026-06-16,2634,0.29661018,-0.02118644142857143
BR,tf,2026-06-16,9921,0.15159574,-0.010828267142857144
BR,tf,2026-06-16,9914,0.15068494,-0.010763209999999999
BR,tf,2026-06-16,2207,0.053087756,-0.0037919825714285713
BR,tf,2026-06-16,2812,0.035264485,-0.0025188917857142854
BR,d12,2021-01-04,3231,0.021311475,-0.001522248214285714
BR,d12,2021-01-04,1216,0.0089552235,-0.0006396588214285714
BR,d12,2021-01-04,2912,-0.0036764706,0.00026260504285714287
BR,d12,2021-01-04,4904,-0.021172639,0.001512331357142857
BR,d12,2021-01-04,3045,-0.024193548,0.0017281105714285713
BR,d12,2021-02-01,3008,0.1530782,-0.010934157142857143
BR,d12,2021-02-01,2884,0.07676349,-0.005483106428571429
BR,d12,2021-02-01,2886,0.06794425,-0.0048531607142857135
BR,d12,2021-02-01,2892,0.066176474,-0.0047268909999999996
BR,d12,2021-02-01,2880,0.06376812,-0.004554865714285714
BR,d12,2021-03-11,9921,0.20244329,-0.014460234999999998
BR,d12,2021-03-11,1101,0.10538641,-0.007527600714285714
BR,d12,2021-03-11,2376,0.0855615,-0.0061115357142857134
BR,d12,2021-03-11,2880,0.024523161,-0.0017516543571428572
BR,d12,2021-03-11,3231,0.023148147,-0.0016534390714285714
BR,d12,2021-04-12,2412,0.004464286,-0.00031887757142857136
BR,d12,2021-04-12,3045,-0.0010152285,7.251632142857142e-05
BR,d12,2021-04-12,1434,-0.006430868,0.00045934771428571427
BR,d12,2021-04-12,2542,-0.020689655,0.0014778325
BR,d12,2021-04-12,2884,-0.032380953,0.002312925214285714
BR,d12,2021-05-11,2368,0.36200717,-0.025857654999999997
BR,d12,2021-05-11,2313,0.13988096,-0.009991497142857143
BR,d12,2021-05-11,2634,0.101886794,-0.007277628142857142
BR,d12,2021-05-11,3661,0.09015544,-0.006439674285714286
BR,d12,2021-05-11,3008,0.049822062,-0.003558718714285714
BR,d12,2021-06-08,2313,0.122715406,-0.009439646615384616
BR,d12,2021-06-08,6414,0.106024094,-0.008155699538461538
BR,d12,2021-06-08,2542,0.06946108,-0.00534316
BR,d12,2021-06-08,3008,0.06779661,-0.005215123846153846
BR,d12,2021-06-08,2207,0.059859157,-0.004604550538461539
BR,d12,2021-07-07,2912,0.10133843,-0.007238459285714285
BR,d12,2021-07-07,2542,0.090705484,-0.006478963142857143
BR,d12,2021-07-07,5522,0.058601134,-0.0041857952857142855
BR,d12,2021-07-07,2801,0.040123455,-0.0028659610714285716
BR,d12,2021-07-07,1513,0.016064256,-0.001147446857142857
BR,d12,2021-08-04,3661,0.20065789,-0.014332706428571429
